what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.uml2.common.edit,1.5.0.v200905041045,"org.eclipse.uml2.common.edit",1523927056145
started,bundle,org.eclipse.uml2.diagram.clazz,0.9.0.v200906190654,"org.eclipse.uml2.diagram.clazz",1523927056232
started,bundle,org.eclipse.uml2.diagram.component,0.9.0.v200906190654,"org.eclipse.uml2.diagram.component",1523927056458
started,bundle,org.eclipse.uml2.diagram.deploy,0.9.0.v200906190654,"org.eclipse.uml2.diagram.deploy",1523927056464
started,bundle,org.eclipse.uml2.diagram.profile,0.9.0.v200906190654,"org.eclipse.uml2.diagram.profile",1523927056470
started,bundle,org.eclipse.uml2.diagram.sequence,0.9.0.v200906190654,"org.eclipse.uml2.diagram.sequence",1523927056475
started,bundle,org.eclipse.uml2.diagram.usecase,0.9.0.v200906190654,"org.eclipse.uml2.diagram.usecase",1523927056479
started,bundle,org.pnml.tools.epnk,0.9.1.201101281458,"org.pnml.tools.epnk",1523927056491
started,bundle,org.pnml.tools.epnk.edit,0.9.0.201101281458,"org.pnml.tools.epnk.edit",1523927056492
started,bundle,org.pnml.tools.epnk.diagram,0.9.1.201101281458,"org.pnml.tools.epnk.diagram",1523927056494
started,bundle,org.eclipse.uml2.diagram.activity,0.9.0.v200906190654,"org.eclipse.uml2.diagram.activity",1523927056517
started,bundle,org.eclipse.uml2.diagram.csd,0.9.0.v200906190654,"org.eclipse.uml2.diagram.csd",1523927056531
started,bundle,org.eclipse.uml2.diagram.statemachine,0.9.0.v200906190654,"org.eclipse.uml2.diagram.statemachine",1523927056537
started,bundle,org.eclipse.gmf.runtime.emf.ui,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.emf.ui",1523927056544
started,bundle,org.eclipse.uml2.diagram.parser,0.9.0.v200906190654,"org.eclipse.uml2.diagram.parser",1523927056576
started,bundle,org.eclipse.ocl,1.3.0.v200905271400,"org.eclipse.ocl",1523927056584
started,bundle,org.eclipse.ocl.ecore,1.3.0.v200905271400,"org.eclipse.ocl.ecore",1523927056587
started,bundle,org.eclipse.gmf.runtime.notation.edit,1.2.0.v20091021-2333,"org.eclipse.gmf.runtime.notation.edit",1523927056726
opened,editor,utn.frsf.cidisi.idemia.diagram,1.0.0.201011251812,"utn.frsf.cidisi.idemia.diagram.part.IdemiaDiagramEditorID",1523927057104
started,bundle,org.eclipse.gmf.runtime.emf.type.ui,1.2.0.v20090403-1720,"org.eclipse.gmf.runtime.emf.type.ui",1523927057133
activated,editor,utn.frsf.cidisi.idemia.diagram,1.0.0.201011251812,"utn.frsf.cidisi.idemia.diagram.part.IdemiaDiagramEditorID",1523927057178
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1523927060518
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1523927061926
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1523927062086
stopped,bundle,org.eclipse.uml2.diagram.codegen.edit,0.9.0.v200906190654,"org.eclipse.uml2.diagram.codegen.edit",1523927062341
stopped,bundle,org.eclipse.uml2.diagram.codegen,0.9.0.v200906190654,"org.eclipse.uml2.diagram.codegen",1523927062341
stopped,bundle,org.eclipse.gmf.codegen.ui,1.1.100.v20090424-1042,"org.eclipse.gmf.codegen.ui",1523927062342
stopped,bundle,org.eclipse.m2m.qvt.oml.ui,2.0.0.v20090526-1940,"org.eclipse.m2m.qvt.oml.ui",1523927062342
stopped,bundle,org.eclipse.mylyn.pde.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.pde.ui",1523927062343
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.100.v20090526,"org.eclipse.pde.api.tools.ui",1523927062343
stopped,bundle,org.eclipse.pde.ds.ui,1.0.0.v20090527,"org.eclipse.pde.ds.ui",1523927062344
stopped,bundle,org.eclipse.pde.runtime,3.4.100.v20090527,"org.eclipse.pde.runtime",1523927062344
stopped,bundle,org.eclipse.pde.ua.ui,1.0.0.v20090511,"org.eclipse.pde.ua.ui",1523927062345
stopped,bundle,org.eclipse.pde.ui.templates,3.4.100.v20090527,"org.eclipse.pde.ui.templates",1523927062346
stopped,bundle,org.eclipse.pde.ui,3.5.0.v20090528,"org.eclipse.pde.ui",1523927062346
stopped,bundle,org.eclipse.mylyn.ide.ant,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.ide.ant",1523927062347
stopped,bundle,org.eclipse.ant.ui,3.4.0.v20090520,"org.eclipse.ant.ui",1523927062347
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1523927062348
stopped,bundle,org.eclipse.mylyn.java.tasks,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.tasks",1523927062348
stopped,bundle,org.eclipse.mylyn.java.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.java.ui",1523927062349
stopped,bundle,org.eclipse.jdt.junit,3.5.0.v20090526-2000,"org.eclipse.jdt.junit",1523927062349
stopped,bundle,org.eclipse.gmf.bridge.trace,1.0.200.v20090520-1343,"org.eclipse.gmf.bridge.trace",1523927062350
stopped,bundle,org.eclipse.gmf.bridge.ui.dashboard,2.0.0.v20090114-0940,"org.eclipse.gmf.bridge.ui.dashboard",1523927062350
stopped,bundle,org.eclipse.gmf.doc.ui,1.3.0.v20090729-2029,"org.eclipse.gmf.doc.ui",1523927062351
stopped,bundle,org.eclipse.gmf.bridge.ui,1.2.1.v20090812-1620,"org.eclipse.gmf.bridge.ui",1523927062351
stopped,bundle,org.eclipse.gmf.bridge,1.1.0.v20090528-1000,"org.eclipse.gmf.bridge",1523927062352
stopped,bundle,org.eclipse.gmf.graphdef.codegen,2.0.100.v20090520-1343,"org.eclipse.gmf.graphdef.codegen",1523927062352
stopped,bundle,org.eclipse.gmf.map.edit,2.2.0.v20090114-1925,"org.eclipse.gmf.map.edit",1523927062353
stopped,bundle,org.eclipse.gmf.graphdef.edit,2.0.200.v20090216-1925,"org.eclipse.gmf.graphdef.edit",1523927062354
stopped,bundle,org.eclipse.gmf.map,2.2.0.v20090520-1343,"org.eclipse.gmf.map",1523927062355
stopped,bundle,org.eclipse.gmf.tooldef.edit,2.0.100.v20090114-0940,"org.eclipse.gmf.tooldef.edit",1523927062356
stopped,bundle,org.eclipse.gmf.tooldef,2.0.0.v20090114-0940,"org.eclipse.gmf.tooldef",1523927062356
stopped,bundle,org.eclipse.gmf.codegen.edit,2.2.0.v20090416-1925,"org.eclipse.gmf.codegen.edit",1523927062358
stopped,bundle,org.eclipse.uml2.diagram.def,0.9.0.v200906190654,"org.eclipse.uml2.diagram.def",1523927062359
stopped,bundle,org.eclipse.gmf.codegen,2.2.1.v20090812-1620,"org.eclipse.gmf.codegen",1523927062359
stopped,bundle,org.eclipse.gmf.common,1.1.100.v20090420-1925,"org.eclipse.gmf.common",1523927062360
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1523927062360
stopped,bundle,org.eclipse.acceleo.ide.ui,0.8.1.v200909161003,"org.eclipse.acceleo.ide.ui",1523927062361
stopped,bundle,org.eclipse.xpand.ui,0.7.2.v200908120436,"org.eclipse.xpand.ui",1523927062361
stopped,bundle,org.eclipse.emf.generic.editor,0.7.2.v200908120436,"org.eclipse.emf.generic.editor",1523927062361
stopped,bundle,org.eclipse.xtend.check.ui,0.7.2.v200908120436,"org.eclipse.xtend.check.ui",1523927062361
stopped,bundle,org.eclipse.xtend.typesystem.emf.ui,0.7.2.v200908120436,"org.eclipse.xtend.typesystem.emf.ui",1523927062361
stopped,bundle,org.eclipse.xtend.typesystem.uml2.ui,0.7.2.v200908120436,"org.eclipse.xtend.typesystem.uml2.ui",1523927062361
stopped,bundle,org.eclipse.xtend.typesystem.xsd.ui,0.7.2.v200908120436,"org.eclipse.xtend.typesystem.xsd.ui",1523927062361
stopped,bundle,org.eclipse.xtend.ui,0.7.2.v200908120436,"org.eclipse.xtend.ui",1523927062361
stopped,bundle,org.eclipse.xtend.shared.ui,0.7.2.v200908120436,"org.eclipse.xtend.shared.ui",1523927062362
stopped,bundle,org.eclipse.emf.mwe.ui,0.7.2.v200908120417,"org.eclipse.emf.mwe.ui",1523927062362
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.0.v20090527,"org.eclipse.jdt.debug.ui",1523927062362
stopped,bundle,org.eclipse.emf.mint.ui,0.8.0.v200906161513,"org.eclipse.emf.mint.ui",1523927062363
stopped,bundle,org.eclipse.m2m.qvt.oml.editor.ui,2.0.1.v20090701-2200,"org.eclipse.m2m.qvt.oml.editor.ui",1523927062363
stopped,bundle,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui",1523927062402
